run,profit,cost,number_of_placed_chains,number_of_chains,solver,elapsed_time
0,34200,3800,72,100,oabu,9130.844206571579
1,34200,3800,72,100,oabu,9107.236539840698
2,34200,3800,72,100,oabu,9124.560269355774
3,34200,3800,72,100,oabu,9107.36314368248
4,34200,3800,72,100,oabu,9116.748662233353
5,34200,3800,72,100,oabu,9121.933061122894
6,34200,3800,72,100,oabu,9108.365091085434
7,34200,3800,72,100,oabu,9127.273842334747
8,34200,3800,72,100,oabu,8650.74388551712
9,34200,3800,72,100,oabu,8648.588699817657
